link_href,img_src
http://www.tripleclicks.com/14774209/ECA,http://static.sfimg.com/SFIBanners/banner434.jpg
http://www.tripleclicks.com/14774209/pbgw,http://static.sfimg.com/SFIBanners/banner441.jpg
http://www.tripleclicks.com/14774209,http://static.sfimg.com/SFIBanners/banner400.gif
http://www.tripleclicks.com/14774209,http://static.sfimg.com/SFIBanners/banner440.jpg
http://www.sfi4.com/14774209/REAL,http://www.sfimg.com/SFIBanners/banner176.gif
http://www.sfi4.com/14774209/REAL,http://www.sfimg.com/SFIBanners/banner177.gif
http://www.sfi4.com/14774209/REAL,http://www.sfimg.com/SFIBanners/banner178.gif
http://www.sfi4.com/14774209/REAL,http://www.sfimg.com/SFIBanners/banner179.gif
http://www.sfi4.com/14774209/REAL,http://www.sfimg.com/SFIBanners/banner180.gif
http://www.sfi4.com/14774209/REAL,http://www.sfimg.com/SFIBanners/banner181.gif
http://www.sfi4.com/14774209/REAL,http://www.sfimg.com/SFIBanners/banner167.gif
http://www.sfi4.com/14774209/REAL,http://www.sfimg.com/SFIBanners/banner168.gif
http://www.sfi4.com/14774209/REAL,http://www.sfimg.com/SFIBanners/banner314.gif
http://www.sfi4.com/14774209/REAL,http://www.sfimg.com/SFIBanners/banner410.jpg
http://www.sfi4.com/14774209/REAL,http://www.sfimg.com/SFIBanners/banner411.jpg
http://www.sfi4.com/14774209/REAL,http://www.sfimg.com/SFIBanners/banner412.jpg
http://www.sfi4.com/14774209/REAL,http://www.sfimg.com/SFIBanners/banner413.jpg
http://www.sfi4.com/14774209/REAL,http://www.sfimg.com/SFIBanners/banner414.jpg
http://www.sfi4.com/14774209/REAL,http://www.sfimg.com/SFIBanners/banner415.gif
http://www.sfi4.com/14774209/REAL,http://www.sfimg.com/SFIBanners/banner416.gif
http://www.sfi4.com/14774209/REAL,http://www.sfimg.com/SFIBanners/banner443.gif
